Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
S23,72,22,6.18,0.33,623,121,67.2,9.12,2.61,11.6,9.07,0.58,40.1,18.3,0.73,5.38,2.52,1.45,0.11,0.08,0.14,3.3
S24,76,18,6.49,0.28,645,172,52.5,9.43,1.94,9.10,9.75,1.00,79.7,14.6,0.40,3.76,1.39,0.86,0.08,0.15,0.28,4.3
S25,78,18,1.05,0.75,496,162,32.2,56.7,0.34,5.00,4.10,0.91,49.8,29.5,0.61,5.31,2.02,1.27,0.09,0.17,0.32,4.3
S26,75,20,6.35,0.45,543,137,57.1,9.50,4.95,11.2,8.29,0.85,58.6,23.4,0.49,14.6,1.69,1.10,0.07,0.19,0.25,3.8
S27,72,20,6.48,0.41,558,140,54.5,9.10,4.34,10.6,8.19,0.89,57.0,18.4,0.36,3.05,1.49,0.85,0.07,6.73,0.26,3.7
S28,76,21,5.91,0.83,471,172,139,46.5,8.88,54.7,1.89,0.66,27.0,12.5,0.41,6.32,2.03,1.60,0.09,4.00,4.59,3.6
S29,69,28,6.57,0.81,492,121,122,26.4,7.79,18.8,9.63,0.71,33.3,22.1,0.53,5.25,2.74,1.81,0.13,0.93,0.38,2.5
S30,86,16,4.61,0.57,467,196,158,37.7,10.4,19.8,4.90,0.99,74.2,22.5,0.19,2.16,1.13,0.67,0.07,0.28,0.20,5.4
S31,77,25,5.25,0.73,400,89,101,18.4,9.98,22.6,2.89,0.68,26.3,32.6,0.31,3.96,1.80,1.05,0.10,0.14,0.24,3.1
S32,82,22,7.22,0.72,461,148,148,42.8,9.05,53.8,2.84,0.95,39.1,14.0,0.39,4.74,2.51,1.55,0.12,0.18,0.31,3.7
S33,82,20,5.14,0.45,492,166,117,22.8,5.26,28.5,3.59,1.00,87.4,21.8,0.14,2.02,1.00,0.59,0.06,0.33,0.16,4.2
S34,80,16,4.48,0.47,468,187,132,33.8,7.64,18.8,4.52,1.02,70.4,18.7,0.14,2.18,0.89,0.57,0.06,0.09,0.19,5.0
S35,78,19,6.62,0.24,539,174,57.4,9.02,1.91,8.9,9.78,0.99,80.3,14.4,0.17,2.63,1.31,0.72,0.08,0.24,0.17,4.2
S36,78,20,7.71,0.18,683,175,64.8,7.04,2.36,6.4,6.57,1.00,62.0,14.2,0.30,5.24,2.19,1.97,0.11,0.42,0.23,3.9
S37,75,23,6.63,0.23,464,131,66.0,7.51,3.35,9.7,5.62,0.65,40.6,15.2,0.10,2.68,1.23,1.02,0.09,2.88,0.12,3.2
S38,90,21,2.33,0.38,656,165,125,201,0.90,24.8,15.7,1.75,151,79.1,0.40,8.97,3.95,2.34,0.22,2.20,0.42,4.3
